University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Notre Dame (ND),Chemical and Biomolecular Engineering,"$28,135",1.56,2014-2015,1st,"$28,200",,,$65,Fully paid health insurance. Low cost of living area.
Southern California University of Health Sciences,Sports Medicine,"$41,600",,2015-2016,1st,"$41,600",,,,
Cornell University (CU),Information Science,$500,0.02,2014-2015,1st,"$2,000",,,"$1,500",
Auburn University (AU),Mechanical Engineering,"$17,450",0.81,2015-2016,1st,"$18,000",,,$550,
Rice University,ECE,"$25,400",1.32,2014-2015,4th,"$26,400",,,"$1,000",
Yale University (YU),School of Forestry and Environmental Studies,"$29,000",1.17,2015-2016,4th,"$29,000",,,,
University of Maryland - College Park (UMD),Economics,"$18,888",0.62,2015-2016,1st,,"$20,488",,"$1,600",
University of Alabama - Birmingham (UAB),Health professional,"$200,000",10.45,2014-2015,1st,"$200,000",,,,
Case Western Reserve University,"Pathology, PhD","$27,500",1.38,2015-2016,5th,"$27,500",,,,+Health Benefits
Case Western Reserve University,BME,"$25,000",1.45,2014-2015,1st,"$25,000",,,,
University of Pittsburgh,Hispanic Languages and Literature,"$16,960",0.82,2015-2016,1st,"$17,000",,,$40,
Case Western Reserve University,Physiology & Biophysics,"$27,500",1.60,2014-2015,3rd,"$27,500",,,,
New York University (NYU),Neuroscience,"$41,000",1.55,2014-2015,,"$41,000",,,,
Massachusetts Institute of Technology (MIT),Environmental,"$-73,344",-2.63,2015-2016,1st,"$5,622",,,"$78,966",
University of Nebraska - Lincoln (NU),History ,"$22,000",1.31,2014-2015,1st,,"$25,000",,"$3,000",
Duquesne University (DU),Philosophy,"$17,000",0.99,2012-2013,1st,,"$17,000",,,
Brown University,comparative literature,"$27,000",1.31,2014-2015,4th,"$27,000",,,,
Rutgers the State University of New Jersey - New Brunswick,Policy and Planning,"$25,000",0.97,2015-2016,3rd,,"$25,000",,,
Pennsylvania State University (Penn State),Political Science,"$20,500",1.11,2014-2015,3rd,,"$20,500",,,
Pennsylvania State University (Penn State),Mathematics,"$30,500",1.65,2014-2015,4th,,"$23,850","$6,650",,
University of Arizona (U of A),Anthropology,"$14,479",0.83,2014-2015,4th,,"$15,500",,"$1,021",
University of Kansas (KU),Economics,"$16,100",0.86,2014-2015,1st,"$17,000",,,$900,
Rice University,Art History,"$24,000",1.10,2015-2016,5th,"$24,000",,,,
Albert Einstein College of Medicine,Biomedical Sciences,"$33,000",,2015-2016,1st,"$33,000",,,,Subsidized housing ($500)  in New York (Bronx)
Georgetown University,Physics,"$32,500",1.05,2015-2016,2nd,"$32,500",,,,
Georgetown University,Physics,"$31,500",1.02,2015-2016,1st,"$31,500",,,,
Arizona State University (ASU),Business,"$30,000",1.57,2014-2015,1st,"$30,000",,,,
University of California - Santa Barbara (UCSB),English,"$18,498",0.70,2015-2016,3rd,"$18,498",,,,Teaching 4 courses per academic year.
University of Illinois - Urbana- Champaign (UIUC),English,"$20,915",0.95,2015-2016,3rd,"$20,915",,,,Teaching 4 courses per academic year.
University of Illinois - Urbana- Champaign (UIUC),English,"$15,608",0.71,2015-2016,2nd,"$15,608",,,,Teaching 3 courses per academic year.
University of Illinois - Urbana- Champaign (UIUC),English,"$10,301",0.47,2015-2016,1st,"$10,301",,,,Teaching one class per semester
University of California - Irvine (UCI),English,"$17,655",0.60,2015-2016,1st,"$17,655",,,,
New York University (NYU),English,"$23,622",0.79,2015-2016,1st,"$23,622",,,,"New students also receive a one-time $1,000 stipend that may be used for start-up expenses."
University of Alabama (UA),English,"$13,500",0.64,2015-2016,3rd,"$13,500",,,,
University of Texas - Austin (UT),English,"$14,490",0.63,2015-2016,1st,"$14,490",,,,
Johns Hopkins University (JHU),English,"$30,000",1.17,2015-2016,1st,"$30,000",,,,
University of Virginia (UVA),English,"$24,000",1.05,2015-2016,1st,"$24,000",,,,
University of California - Los Angeles (UCLA),English,"$24,000",0.93,2015-2016,1st,"$24,000",,,,
Columbia University (CU),English,"$26,286",0.88,2015-2016,1st,"$26,286",,,,
University of Connecticut (UConn),English,"$22,000",0.90,2015-2016,1st,"$22,000",,,,
Boston University (BU),English,"$20,000",0.70,2015-2016,1st,"$20,000",,,,
University of Illinois - Chicago (UIC),English,"$15,000",0.62,2015-2016,2nd,"$15,000",,,,
Cornell University (CU),English,"$24,658",1.02,2015-2016,2nd,"$24,658",,,,
Vanderbilt University,English,"$24,500",1.07,2015-2016,1st,"$24,500",,,,
Rutgers the State University of New Jersey - New Brunswick,English,"$23,000",0.89,2015-2016,1st,"$23,000",,,,
Emory University,English,"$22,000",0.94,2015-2016,1st,"$22,000",,,,
Washington University in St. Louis (Wash U),English,"$21,500",1.04,2015-2016,1st,"$21,500",,,,
University of Pittsburgh,English,"$18,000",0.87,2015-2016,1st,"$18,000",,,,
University at Buffalo - SUNY,English,"$17,500",0.83,2015-2016,1st,"$17,500",,,,
University at Buffalo - SUNY,English,"$14,000",0.67,2015-2016,1st,"$14,000",,,,
Ohio State University (OSU),English,"$15,588",0.92,2014-2015,1st,"$15,588",,,,
University of Michigan - Ann Arbor (UM),English,"$16,000",0.81,2014-2015,1st,"$16,000",,,,
University of Nebraska - Lincoln (NU),English,"$16,000",0.95,2014-2015,1st,"$16,000",,,,
University of Georgia ,Computer science ,"$16,280",,2015-2016,1st,"$16,330",,,$50,
University of Georgia (UGA),Engineering,"$17,875",0.85,2015-2016,1st,"$21,000",,,"$3,125",
Oregon Health and Science University,Program in Molecular and Cellular Biosciences,"$27,000",1.15,2015-2016,1st,"$27,000",,,,
Clemson University (CU),Automotive Engineering,"$20,000",0.96,2015-2016,1st,"$20,000",,,,
University of Texas - San Antonio (UTSA),Cell and Molecular Biology,"$26,000",1.44,2014-2015,1st,"$26,000",,,,
University at Buffalo - SUNY,Biochemistry,"$22,800",1.08,2015-2016,2nd,"$25,000",,,"$2,200",
Columbia University (CU),Music,"$28,335",0.95,2015-2016,3rd,"$28,335",,,,
University of Wisconsin - Madison (UW),math,"$15,380",0.78,2014-2015,1st,,"$15,380",,,
Ohio State University (OSU),Electrical & Computer Engineering,"$24,000",1.42,2014-2015,1st,"$24,000",,,,
Virginia Commonwealth University (VCU),Management,"$22,000",1.02,2014-2015,4th,"$22,000",,,,
University of California - Irvine (UCI),Computer Science,"$2,200",0.08,2015-2016,1st,"$2,200",,,,
,,"$28,000",,2014-2015,,"$30,000",,,"$2,000",
University of Maryland - College Park (UMD),Neuroscience and Cognitive Science,"$23,200",0.84,2010-2011,1st,"$24,000",,,$800,
University of Miami (UM),Romance Studies,"$20,000",0.89,2014-2015,1st,,"$20,000",,,
Massachusetts Institute of Technology (MIT),Computing,,0.00,2014-2015,,"$25,000",,,"$25,000",
University of Pittsburgh,MSTP,"$25,980",1.26,2015-2016,1st,"$26,010",,,$30,
Rensselaer Polytechnic Institute (RPI),MANE,"$22,285",1.13,2014-2015,5th,,"$18,500","$6,167","$2,382",
University of Wisconsin - Madison (UW),Materials Science PhD,"$16,500",0.83,2014-2015,1st,,"$18,000",,"$1,500","The stipend here is about $3,000 below the living wage and housing prices have been rapidly increasing over the last 5 years. One of the other graduate student is contemplating going on food stamps and I have trouble purchasing groceries each month. Many other students have gotten second jobs even though it is technically forbidden by the program. I would not recommend going into this program unless you have support from family. I'll be leaving, getting a job to save up money for the next few years and then going to a different University. I have been slowly sliding into debt and I refuse to take out any more loans. "
Georgia Institute of Technology (Georgia Tech),Psychology CBS,"$13,840",0.66,2014-2015,4th,,"$16,445",,"$2,605","While graduate student salaries are not going up (and haven't for years), the faculty (who has control over how much we make; graduate students have no say in this vote) has repeatedly voted to increase their own salaries which were already considered high for the area . Summer salaries are not guaranteed. There is no extra income for teaching as a graduate student. Students are expected to pay student fees without help from advisers or department. Classes for the first year are full time and with the new deadline system, you will not be able to find a second job that doesn't leave you working for nearly 24 / 7 (also, I'm not sure you want to work nights in Atlanta. It's not a safe city). With my salary and qualifying for FDIC low income housing, walking to school every day and cutting back where I can, I am still not able to afford basic groceries on my salary. Many graduate students in the department are really struggling to get by. If you don't have a parent to help you with this and you can't qualify for food stamps or find a flexible second job, you will have to take out loans. It's really bad. "
University of Texas - Austin (UT),Petroleum Engineering,"$23,175",1.02,2015-2016,1st,"$23,175",,,,
Columbia University (CU),Biological Sciences,"$35,048",1.18,2015-2016,1st,"$35,048",,,,
University of Massachusetts Medical Center - Worcester,GSBS,"$30,500",1.35,2015-2016,1st,"$30,500",,,,
North Carolina State University (NCSU),Communication,"$14,000",0.61,2015-2016,1st,"$15,000",,,"$1,000",
University of North Carolina - Chapel Hill (UNC),Chemistry,"$23,000",1.03,2015-2016,1st,"$25,000",,,"$2,000",
Temple University (TU),Civil and Environmental Engineering,"$23,833",1.14,2014-2015,1st,,"$17,833","$6,000",,500/semester depending on number of courses ($ 500 if enrolled in two courses in Engineering program)
University of Rhode Island (URI),English ,"$13,700",0.60,2015-2016,5th,,"$15,000",,"$1,300",
Louisiana State University - Baton Rouge,Civil Engineering,"$20,700",1.04,2014-2015,5th,"$25,000",,,"$4,300",Fees include health insurance. 
Boston University (BU),religious studies,"$22,000",0.77,2015-2016,3rd,,"$22,000",,,
University of Wisconsin - Madison (UW),Interdisciplinary Theatre Studies,"$12,850",0.56,2015-2016,1st,,"$13,500",,$650,
Ohio University (OU),History,"$17,200",0.82,2015-2016,4th,,"$18,500",,"$1,300","Also required to have health insurance by the university, which can be purchased through its plan (about $1900 a year without aid from the university) or through private plans. "
Princeton University,sociology,"$28,800",1.32,2014-2015,5th,"$28,800",,,,
St. John's University,History,"$13,400",,2015-2016,3rd,,"$16,000",,"$2,600",
Georgetown University,history,"$26,000",0.91,2014-2015,6th and up,,"$26,000",,,Grad School also pays for health insurance. 
,university of iowa ,"$8,185",,2014-2015,1st,,"$15,985",,"$7,800",
University of California - Irvine (UCI),East Asian Languages and Literature,"$16,000",0.59,2006-2007,2nd,,"$16,000",,,
University of California - Irvine (UCI),East Asian Languages and Literature,"$16,000",0.59,2005-2006,1st,,"$16,000",,,
Cold Spring Harbor Laboratory,Watson School of Biological Sciences,"$31,500",,2011-2012,2nd,"$31,500",,,,"They have since raised the stipends, but also no longer give students W2s and healthcare benefits have decreased."
uc san diego,history,"$15,000",,2006-2007,1st,"$15,000",,,,
University of California - Los Angeles (UCLA),Asian Languages and Cultures,"$20,700",0.88,2014-2015,4th,,"$21,000",,$300,
University of Colorado - Boulder (UCB),Geology ,"$30,000",1.45,2012-2013,2nd,"$30,000",,,,
University of California - San Diego (UCSD),history,"$18,000",0.76,2011-2012,3rd,,"$18,000",,,
Louisiana State University - Baton Rouge,chemical engineering,"$23,600",1.19,2014-2015,6th and up,"$23,600",,,,This doesn't include medical insurance or any other mandatory fees
Harvard University (HU),History,"$24,000",0.91,2010-2011,6th and up,"$24,000",,,,
ETH,Computer Science,"$75,000",,2014-2015,1st,"$75,000",,,,
University of California - Santa Cruz,History,"$17,000",0.66,2009-2010,,,"$18,000",,"$1,000",
Georgetown University,Theology,"$26,000",0.84,2015-2016,1st,"$26,000",,,,
University of Colorado - Boulder (UCB),Aerospace Engineering,"$26,000",1.26,2014-2015,3rd,"$27,000",,,"$1,000",Varies with whether you've passed comps or not. 
Boston University (BU),Religious Studies,"$21,000",0.80,2014-2015,3rd,,"$21,000",,,
University of Chicago (UC),Germanic Studies,"$26,000",1.19,2010-2011,1st,"$27,000",,,"$1,000",
University of Maryland - Baltimore (UMB),geographic medicine,"$42,900",1.84,2014-2015,1st,"$42,900",,,,
Harvard University (HU),History,"$28,428",1.08,2011-2012,1st,"$28,428",,,,
Boston University (BU),Graduate Division of Religious Studies,"$20,000",0.70,2015-2016,5th,,"$20,000",,,"Current pay (5th year) is not part of the fellowship package awarded upon admission, which provided 4 years of funding. It comes from an RA position (coincidentally from my own department) that was sought out."
Boston University (BU),Graduate Division of Religious Studies,"$20,000",0.76,2011-2012,1st,,"$20,000",,,
Rutgers the State University of New Jersey - New Brunswick,Philosophy,"$26,000",1.00,2014-2015,,"$28,000",,,"$2,000","3 years at this rate. Two years at teaching stipend rate (24,000)."
Princeton University,French and Italian,"$30,500",1.20,2015-2016,4th,"$30,500",,,,"Total package over 70.000 (Tuition, health insurance, stipend)"
University of California - Irvine (UCI),Biological Chemistry,"$29,750",1.09,2014-2015,5th,"$29,750",,,,
UC Davis,Transportation Technology and Policy,"$26,000",,2015-2016,3rd,"$26,000",,,,
University of Rochester (UR),Chemistry,"$28,490",1.56,2014-2015,3rd,"$28,500",,,$10,Department/PI covers the cost of tuition. 
University of Pittsburgh,Electrical and Computer Engineering,"$24,740",1.20,2015-2016,4th,,"$16,800","$8,000",$60,"Graduate Student Research Fellow Stipend for Fall and Spring Semesters. Pre-Doctoral Fellowship for Summer Months. Additionally, I get paid on an 8-month academic year cycle (and 4-month summer cycle)."
Texas Tech University (TTU),Psychology,"$1,152",0.07,2014-2015,,,"$1,152",,,Tuition is waived 
Texas Tech University (TTU),Psychology,"$1,300",0.08,2014-2015,3rd,,"$1,300",,,
Florida Atlantic University (FAU),Business,"$24,000",1.05,2014-2015,,,"$24,000",,,Tuition waived; must pay other fees out of pocket
University of Pittsburgh,Math,"$21,670",1.05,2015-2016,,,"$17,800","$3,900",$30,Ballpark... within maybe $200
University of California - San Diego (UCSD),Neuroscience,"$32,500",1.37,2014-2015,1st,"$32,500",,,,
University of California - Davis (UCD),Pharmacology and Toxicology,"$24,753",1.14,2014-2015,1st,"$24,753",,,,
Stanford University (SU),Biosciences (PhD),"$34,168",1.37,2014-2015,1st,"$34,168",,,,
Massachusetts Institute of Technology (MIT),Media Lav,"$1,500",0.05,2015-2016,1st,"$1,500",,,,
Duke University (DU),MGM,"$29,400",1.32,2015-2016,3rd,"$29,400",,,,
University of California - Davis (UCD),Neuroscience,"$29,827",1.24,2015-2016,4th,"$29,827",,,,
University of California - Davis (UCD),Cultural Studies,"$21,000",0.97,2014-2015,6th and up,,"$18,000","$3,000",,
,,"$20,000",,2014-2015,,"$20,000",,,,
University of California - Davis (UCD),plant science,"$1,600",0.07,2015-2016,1st,"$1,600",,,,
University of California - Davis (UCD),Nutrition,"$16,000",0.74,2014-2015,4th,,"$16,000",,,
George Mason University (GMU),Sociology,"$18,500",0.67,2014-2015,1st,,"$18,500",,,
University of California - Davis (UCD),Neuroscience,"$28,680",1.32,2014-2015,2nd,"$28,680",,,,
University of California - Davis (UCD),Anthropology,"$17,603",0.81,2014-2015,3rd,,"$33,359",,"$15,756",3 quarters TAing at 50% (20 hours/week)
University of North Texas (UNT),Biology,"$23,200",1.20,2014-2015,4th,"$25,000",,,"$1,800",
University of California - Davis (UCD),Mechanical Engineering,"$25,897",1.20,2014-2015,4th,,"$15,412","$10,485",,Same 'pay rate' but 49% appointment during the school year and 100% appointment during the summer.
University of California - Davis (UCD),Mechanical Engineering,"$20,735",0.96,2014-2015,4th,,"$17,240","$3,495",,Same 'pay rate' but 49% appointment during the school year and 100% appointment during the summer.
Vanderbilt University,Environmental Engineering,"$24,500",1.24,2013-2014,5th,"$25,500",,,"$1,000",$500 parking/year + $250/semester activity and recreational fees
Emory University,Math & CS,"$20,500",0.88,2015-2016,1st,,"$20,500",,,
University of Washington (UW),Epidemiology,"$28,500",1.22,2015-2016,1st,"$28,500",,,,
Vanderbilt University,Cell and Developmental Biology,"$28,500",1.24,2015-2016,4th,"$28,500",,,,
University of California - Davis (UCD),Graduate Group in Applied Mathematics,"$24,762",1.03,2015-2016,2nd,,"$17,262","$7,500",,GAANN fellowship includes payment of in-state tuition and fees
